variety method tubers weight
Costanera pot 4 153.1
Costanera pot 9 139.1
Costanera pot 3 144.2
Costanera pot 3 83.9
Costanera bed 10 83.9
Costanera bed 5 34.8
Costanera bed 8 79.5
Costanera bed 7 136.7
Costanera bed 5 54.8
Costanera bed 5 81.9
Costanera bed 5 126.4
Costanera bed 6 93.8
Costanera bed 5 99.5
Costanera bed 6 186.8
Costanera hydroponic 4 30.8
Costanera hydroponic 5 32.7
Costanera hydroponic 6 25
Costanera hydroponic 5 42
Costanera hydroponic 5 23.8
Costanera hydroponic 4 19
Costanera hydroponic 2 20.4
Costanera hydroponic 6 19.8
Costanera hydroponic 4 16.7
Costanera hydroponic 5 20.3
Costanera aeroponic 6 45
Costanera aeroponic 4 31.5
Costanera aeroponic 7 36.4
Costanera aeroponic 4 25.2
Costanera aeroponic 7 42
Costanera aeroponic 6 36.4
Costanera aeroponic 7 56.8
Costanera aeroponic 7 54.5
Costanera aeroponic 5 70.3
Costanera aeroponic 6 67.8
Unica pot 5 128.1
Unica pot 4 38.7
Unica pot 6 88.4
Unica pot 5 142.8
Unica pot 5 168
Unica pot 6 188.6
Unica pot 4 43.5
Unica pot 5 64.8
Unica pot 4 76.8
Unica pot 4 126.1
Unica bed 6 92.8
Unica bed 4 137.5
Unica bed 2 80
Unica bed 9 136.6
Unica bed 4 31.4
Unica bed 2 13.2
Unica bed 6 63.4
Unica bed 6 50.3
Unica bed 5 51.3
Unica bed 2 43.9
Unica hydroponic 2 20.5
Unica hydroponic 2 16.6
Unica hydroponic 3 22.2
Unica hydroponic 2 21.7
Unica hydroponic 3 19.7
Unica hydroponic 2 24.55
Unica hydroponic 3 38.2
Unica hydroponic 3 15.4
Unica hydroponic 3 34
Unica hydroponic 2 11.8
Unica aeroponic 4 120
Unica aeroponic 5 212.5
Unica aeroponic 4 125.9
Unica aeroponic 3 66.8
Unica aeroponic 6 147.2
Unica aeroponic 2 112.5
Unica aeroponic 5 112.5
Unica aeroponic 0 0
Unica aeroponic 0 0
Unica aeroponic 0 0
Mariva pot 6 132.3
Mariva pot 7 114.4
Mariva pot 7 122.9
Mariva pot 6 107.5
Mariva pot 6 88.6
Mariva pot 6 114.7
Mariva pot 3 64.7
Mariva pot 5 87.3
Mariva pot 6 47.6
Mariva pot 4 88.3
Mariva bed 11 118.2
Mariva bed 11 103.6
Mariva bed 8 125
Mariva bed 6 29.4
Mariva bed 4 29.2
Mariva bed 8 127.3
Mariva bed 5 59.9
Mariva bed 5 77.3
Mariva bed 5 34.1
Mariva bed 8 102.9
Mariva hydroponic 2 34.25
Mariva hydroponic 2 5.55
Mariva hydroponic 1 8.5
Mariva hydroponic 2 14.95
Mariva hydroponic 2 20.1
Mariva hydroponic 2 14.15
Mariva hydroponic 2 7.85
Mariva hydroponic 1 11
Mariva hydroponic 1 7.85
Mariva hydroponic 2 4.25
Mariva aeroponic 4 74.1
Mariva aeroponic 4 76.3
Mariva aeroponic 4 76
Mariva aeroponic 4 57.85
Mariva aeroponic 10 188.3
Mariva aeroponic 5 19.4
Mariva aeroponic 6 99.2
Mariva aeroponic 5 91.5
Mariva aeroponic 8 165.6
Mariva aeroponic 3 86.7
Costanera pot 8 166.3
Costanera pot 7 152.2
Costanera pot 4 136.8
Costanera pot 5 129.1
Costanera pot 3 110.1
Costanera pot 7 138.8
Costanera pot 4 150.8
Costanera pot 3 137
Costanera pot 4 81.6
Costanera pot 5 107.9
Costanera bed 6 159.3
Costanera bed 4 118.5
Costanera bed 4 80
Costanera bed 4 79.7
Costanera bed 5 49.2
Costanera bed 4 57.4
Costanera bed 5 78.9
Costanera bed 6 54.9
Costanera bed 6 67.6
Costanera bed 5 123.7
Costanera hydroponic 5 22.6
Costanera hydroponic 3 24.7
Costanera hydroponic 5 25.8
Costanera hydroponic 4 22.6
Costanera hydroponic 5 20.3
Costanera hydroponic 4 14.1
Costanera hydroponic 5 19.3
Costanera hydroponic 4 13.3
Costanera hydroponic 3 14.9
Costanera hydroponic 5 15.6
Costanera aeroponic 4 61.5
Costanera aeroponic 3 78.6
Costanera aeroponic 4 49.3
Costanera aeroponic 6 29.5
Costanera aeroponic 5 25.9
Costanera aeroponic 5 49.2
Costanera aeroponic 4 29.1
Costanera aeroponic 7 42.4
Costanera aeroponic 6 45
Costanera aeroponic 6 20.6
Unica pot 9 193.2
Unica pot 8 174.4
Unica pot 5 163
Unica pot 7 209.4
Unica pot 4 72.3
Unica pot 3 124.8
Unica pot 5 67.7
Unica pot 4 86.4
Unica pot 5 97.7
Unica pot 6 107.9
Unica bed 4 58
Unica bed 4 17.1
Unica bed 2 18.2
Unica bed 7 105.1
Unica bed 3 53
Unica bed 3 86.8
Unica bed 3 55.7
Unica bed 3 130.2
Unica bed 4 67.4
Unica bed 3 122.5
Unica hydroponic 2 16.15
Unica hydroponic 3 25.2
Unica hydroponic 2 13.3
Unica hydroponic 3 17.7
Unica hydroponic 2 28
Unica hydroponic 2 17.1
Unica hydroponic 2 20.2
Unica hydroponic 4 29
Unica hydroponic 3 36.1
Unica hydroponic 3 49.6
Unica aeroponic 6 97.7
Unica aeroponic 4 239.7
Unica aeroponic 4 65
Unica aeroponic 3 117.8
Unica aeroponic 4 114
Unica aeroponic 5 119.9
Unica aeroponic 6 62.7
Unica aeroponic 3 40.2
Unica aeroponic 5 265.4
Unica aeroponic 0 0
Mariva pot 6 139.3
Mariva pot 6 130.9
Mariva pot 6 126.4
Mariva pot 4 93.8
Mariva pot 7 104.2
Mariva pot 8 112.1
Mariva pot 7 60.6
Mariva pot 3 50.4
Mariva pot 10 64.4
Mariva pot 3 60.8
Mariva bed 10 106.9
Mariva bed 10 154
Mariva bed 8 133.2
Mariva bed 8 96.1
Mariva bed 3 37.8
Mariva bed 6 81.9
Mariva bed 6 122.5
Mariva bed 11 176.5
Mariva bed 10 118.3
Mariva bed 8 163.9
Mariva hydroponic 1 6.4
Mariva hydroponic 2 22.4
Mariva hydroponic 2 14.15
Mariva hydroponic 3 7.7
Mariva hydroponic 2 2.95
Mariva hydroponic 3 10.35
Mariva hydroponic 1 9.85
Mariva hydroponic 2 10.35
Mariva hydroponic 2 11
Mariva hydroponic 1 5
Mariva aeroponic 9 75.9
Mariva aeroponic 4 85.4
Mariva aeroponic 8 168.4
Mariva aeroponic 8 137.9
Mariva aeroponic 4 130.8
Mariva aeroponic 3 99.7
Mariva aeroponic 5 50.5
Mariva aeroponic 2 55.5
Mariva aeroponic 3 98.7
Mariva aeroponic 3 43
Costanera pot 4 152.5
Costanera pot 5 156.8
Costanera pot 8 156.7
Costanera pot 6 148.1
Costanera pot 7 131.6
Costanera pot 7 153.6
Costanera pot 5 157.6
Costanera pot 8 153.1
Costanera pot 6 157.8
Costanera pot 3 83.7
Costanera bed 7 75.3
Costanera bed 8 49.4
Costanera bed 4 66.8
Costanera bed 4 63.3
Costanera bed 6 75.8
Costanera bed 3 117.4
Costanera bed 4 62
Costanera bed 5 100.4
Costanera bed 5 65.2
Costanera bed 6 46.4
Costanera hydroponic 4 30.1
Costanera hydroponic 7 18.1
Costanera hydroponic 7 18.6
Costanera hydroponic 6 26.7
Costanera hydroponic 7 27.7
Costanera hydroponic 95 33.2
Costanera hydroponic 5 32.5
Costanera hydroponic 6 31.8
Costanera hydroponic 8 25.3
Costanera hydroponic 64 60
Costanera aeroponic 5 24.1
Costanera aeroponic 6 37.1
Costanera aeroponic 4 12.9
Costanera aeroponic 5 50.7
Costanera aeroponic 7 22.7
Costanera aeroponic 5 38.4
Costanera aeroponic 3 28.4
Costanera aeroponic 6 29.1
Costanera aeroponic 4 17.6
Costanera aeroponic 7 36.9
